graph,changedMetrics,biggestMetric,biggestDelta,angularResolution,aspectRatio,convexity,edgeLengthDeviation,edgeRatio,edgeOrthogonality,face,nodeUniformity,alignment,spacing
cycle20,0,,0,0,0,0,0,0,0,0,0,0,0
grid2x10,7,aspectRatio,0.0033448346819472397,-0.0011149923578632759,0.0033448346819472397,0,-0.00036801174502087974,-0.0004038613589979201,-0.0019074105230484362,-0.0007420406048742612,0,0,-0.00023692401068964308
grid2x20,8,aspectRatio,0.0023659365665879006,-0.0008838314720729379,0.0023659365665879006,0,-0.00008355997244047231,-0.00011453494027684197,-0.0014048388967808911,-0.0002580636847758777,0,-0.0013782718882496825,-0.0001968062769933665
grid4x20,8,alignment,-0.010466751709024336,-0.00019030303727185505,0.0003808164834609995,0,-0.000017915338585083873,-0.00005751028370887257,0.0000858027636695402,0.000004477553540049861,0,-0.010466751709024336,-0.00002788167120082452
grid9x9,7,angularResolution,-0.00031380566525185394,-0.00031380566525185394,-5.085255438963543e-9,0,-0.000007055472432071497,0.0000935848720127197,0.00006834114764220356,0.00006523970070371199,0,0,-0.0002830194824422483
oct174,9,alignment,-0.052413377417901974,-0.006546946843266871,-0.0001131820685541518,0,0.0008487702653980911,0.0005080584931747662,-0.016126306452429406,0.00007192948578660374,0.005524861878453247,-0.052413377417901974,0.016069011336275474
planar3tree10,7,spacing,0.0032331307115690544,-0.0031049922652744977,-0.00017315757179670044,0,-0.00007488564331270542,0.0013730883303976898,0.00017790201023615282,0.0019252383148088414,0,0,0.0032331307115690544
planar3tree100,9,alignment,-0.038143258005017056,-0.001964736760876551,-0.00006704230160903268,0,0.00026040099658575233,-0.00002974327074020764,-0.0001470264570628821,0.0001900889831907282,0.010101010101010055,-0.038143258005017056,-0.0008132447507128715
planar3tree30,8,alignment,-0.018195707183643606,-0.004362189483042234,-0.00012985820862299047,0,0.0002058539398319681,0.00015819509585220798,-0.00009247729599581866,0.0009147952511553425,0,-0.018195707183643606,0.004540935908110999
randomplanar1,8,alignment,0.00702773613193397,-0.0025956740130134714,0.001433737479663355,0,0.0006068691116191127,-0.0004495662847290166,-0.000039607165217558915,0.0003398698526689836,0,0.00702773613193397,-0.0006165943040371547
randomplanar2,8,alignment,-0.04907501302798556,-0.0013991401735006237,-0.0007087746804690376,0,0.000675599327167542,-0.000030935830313025964,-0.005292071361689965,0.00037183009636487796,0,-0.04907501302798556,-0.0001814406274313063
randomplanar3,8,alignment,0.05837618490555807,-0.00459619597805333,0.00028206265746821835,0,0.0007293562647557872,-0.00012968962709587403,-0.0014523710714415827,0.0005322846705285711,0,0.05837618490555807,0.00019791718353168175
randomplanar4,8,alignment,0.054810692301206276,-0.0008548378091063902,-0.0000035218654789170856,0,0.00022395056327706442,-0.0001253640601085789,-0.00009257079902247334,-0.00009416648412985396,0,0.054810692301206276,-0.001107309886732799
randomplanar5,8,alignment,0.0639693768881866,0.0060824538641526815,0.0011522180884828703,0,-0.0021743408741874415,0.0014856728615770375,0.0009583238060857369,0.0027406675631358457,0,0.0639693768881866,-0.0009044532842887865
sample1,10,alignment,0.022182786157941448,-0.007695699950942991,0.00023781096910679977,-0.02127659574468077,-0.0010658430555342546,-0.0008771715125935539,0.0011969193782944698,0.0011943607065644235,-0.018181818181818077,0.022182786157941448,0.01664476005156368
sample2,8,alignment,0.09487443778110932,-0.007160747392456701,0.00006161328999643167,0,0.0008781614808109905,-0.000009577166815918914,0.0004141971934331634,0.00024919130591971594,0,0.09487443778110932,0.0018924490201047695
sample3,7,spacing,-0.00013364636698065535,-0.0000354050469429934,5.088745408388107e-7,0,-0.00000422917700437786,-0.00007003348348325056,0.000028527899058161665,-0.000008459639166180644,0,0,-0.00013364636698065535
sample4,9,alignment,0.07165833666533372,0.024966738362397822,0.001146464730933383,0,-0.002082155488073778,-0.0006397931298931896,0.008542779830029268,-0.0028428308114821776,0.024390243902439046,0.07165833666533372,-0.0045567315989857304
sample5,8,alignment,0.0514317135819381,-0.000441189954417609,-0.0003124683928781291,0,0.0001358692971022979,0.00008535036645062472,0.0001585229128302501,-0.00015135935298804526,0,0.0514317135819381,0.00027718055981595935
sample6,8,nodeUniformity,0.0714285714285714,-0.0026057646272700796,0.001559233694277351,0,-0.0006628779821920006,0.00429738016600173,0.0010745709856043728,0.00024647640876718224,0.0714285714285714,0,0.000977691028012706
sample7,7,angularResolution,-0.0026635910338788094,-0.0026635910338788094,0.0009084785023918407,0,0.0004413108000864696,-0.0002728046315778193,0.00015636791407702688,0.0006424094059994667,0,0,0.0005750150788080832
xtree30,8,alignment,0.008342602892102313,-0.0024560910074444275,0.0015569372858726949,0,-0.0019991242920045504,-0.005139193214295734,-0.00046038863631159277,-0.000512444231282827,0,0.008342602892102313,-0.0034482839129017506
